name,our_pv,scgen_pv,diff
RP11-1020A11.2,1,1.64E-56,1.00E+00
MAP3K14-AS1,1,1.38E-57,1.00E+00
TMEM231,1,9.06E-60,1.00E+00
RP4-635E18.7,1,3.56E-18,1.00E+00
MCF2L2,1,8.69E-40,1.00E+00
ZNF391,1,2.77E-47,1.00E+00
RP5-991G20.4,1,5.95E-33,1.00E+00
SLC6A4,1,9.04E-34,1.00E+00
RP11-273B20.1,1,1.64E-56,1.00E+00
MCF2L,1,2.60E-46,1.00E+00
CTD-2349P21.9,1,5.14E-38,1.00E+00
TMEM244,1,2.40E-31,1.00E+00
ANKAR,1,1.87E-43,1.00E+00
RP11-344N10.5,1,5.27E-20,1.00E+00
TET1,1,2.20E-19,1.00E+00
ZBTB20-AS1,1,5.13E-29,1.00E+00
SERPINF2,1,9.06E-60,1.00E+00
MID2,1,6.04E-24,1.00E+00
PI16,1,4.67E-26,1.00E+00
TCEAL2,1,5.27E-20,1.00E+00
C21orf67,1,1.64E-56,1.00E+00
AMZ1,1,5.14E-38,1.00E+00
RP11-991C1.1,1,1.95E-35,1.00E+00
C3orf18,1,2.48E-15,1.00E+00
RP11-406H21.2,1,9.52E-13,1.00E+00
PMCH,1,2.91E-12,1.00E+00
RP11-360L9.4,1,8.70E-12,1.00E+00
OR2B6,1,7.24E-11,1.00E+00
RP11-316O14.1,1,5.72E-08,1.00E+00
DACT3-AS1,1,1.54E-06,1.00E+00
ZNF365,1,1.54E-06,1.00E+00
LEKR1,1,1.43E-05,1.00E+00
C11orf85,1,2.87E-05,1.00E+00
STEAP1B,1,5.62E-05,1.00E+00
DNAH14,1,0.000107592,1.00E+00
AC097724.3,1,0.00020119,1.00E+00
THRB,1,0.000657774,9.99E-01
UNC5CL,1,0.000657774,9.99E-01
FAM81B,1,0.003277954,9.97E-01
ZNF396,0.992819764,1.94E-70,9.93E-01
AC104532.4,0.992819764,8.80E-83,9.93E-01
AC010336.1,0.992819764,1.64E-76,9.93E-01
RMDN2,0.992819764,1.54E-95,9.93E-01
CTC-508F8.1,0.992819764,6.52E-12,9.93E-01
PAGR1,0.992819764,3.36E-10,9.93E-01
CCDC176,0.984724719,1.55E-88,9.85E-01
ZNF483,0.971880095,5.14E-97,9.72E-01
AC069363.1,0.958690414,7.17E-31,9.59E-01
LINC00893,0.958690414,1.47E-21,9.59E-01
ACVR1C,0.958690414,1.07E-16,9.59E-01
CDH3,0.958690414,1.07E-16,9.59E-01
C6orf52,0.958690414,9.01E-10,9.59E-01
ESAM,0.958690414,3.94E-05,9.59E-01
HOXB7,1,0.044583194,9.55E-01
IFI6,0.952426536,1.43E-19,9.52E-01
RP11-14N7.2,0.946250106,1.38E-57,9.46E-01
APBB2,0.946250106,8.79E-30,9.46E-01
NBPF11,0.946250106,3.50E-90,9.46E-01
C1QTNF3,0.946250106,2.39E-45,9.46E-01
LOXL1,0.946250106,2.07E-65,9.46E-01
EML5,0.946250106,2.92E-64,9.46E-01
RP11-154J22.1,0.946250106,5.25E-17,9.46E-01
AC084809.2,0.946250106,6.39E-80,9.46E-01
FAM227B,0.946250106,1.91E-55,9.46E-01
KLHL35,0.946250106,4.23E-70,9.46E-01
FAM227A,0.946250106,8.82E-27,9.46E-01
SOX13,0.946250106,3.83E-32,9.46E-01
RP11-219B17.1,0.946250106,3.48E-81,9.46E-01
XXbac-BPG154L12.4,0.946250106,1.22E-24,9.46E-01
RP11-584P21.2,0.946250106,8.79E-30,9.46E-01
RPA4,0.946250106,1.23E-20,9.46E-01
ZNF492,0.946250106,2.88E-50,9.46E-01
