,R^2 Means,R^2 Stddevs,Type,Cell Types
0,0.9788237372259029,0.0,top 100 DEGs,B
1,0.9978120538323316,0.0,top 100 DEGs,CD4T
2,0.9741782500035234,0.0,top 100 DEGs,CD8T
3,0.9927251099019662,0.0,top 100 DEGs,CD14+Mono
4,0.98603231946499,0.0,top 100 DEGs,Dendritic
5,0.9965423295523217,0.0,top 100 DEGs,FCGR3A+Mono
6,0.967494905074702,0.0,top 100 DEGs,NK
7,0.9718504239387652,0.0,all genes,B
8,0.994786557720677,0.0,all genes,CD4T
9,0.9661019777683421,0.0,all genes,CD8T
10,0.9913890239658677,0.0,all genes,CD14+Mono
11,0.9839851976545011,0.0,all genes,Dendritic
12,0.995049755506437,0.0,all genes,FCGR3A+Mono
13,0.9463297784188602,0.0,all genes,NK
